"District.Name","Subdistrict.Name","Facility.Name","Latitude","Longitude","newDist"
"South Garo Hills","Chokpot Block","Rongsibogre SC",25.36,90.39,7
"East Khasi Hills","Laitkroh Block","Wahkhen SC",25.36,91.84,4
"South West Garo Hills","Zikzak Block","Gilajuri SC",25.36,89.83,11
"East Jaintia Hills","Khliehriat Block","Moolamanoh SC",25.36,92.3,9
"South Garo Hills","Chokpot Block","Ganchikalak SC",25.37,90.36,7
"East Khasi Hills","Laitkroh Block","Mawrah SC",25.37,91.78,4
"West Jaintia Hills","Amlarem Block","Mupyut SC",25.37,92.13,9
"South West Garo Hills","Zikzak Block","Anangpara SC",25.37,90.12,11
"South West Khasi Hills","Mawkyrwat Block","Nongsynrih SC",25.37,91.37,8
"South West Khasi Hills","Mawkyrwat Block","Phlangkynshi SC",25.37,91.51,4
"South West Garo Hills","Zikzak Block","Hulukona SC",25.37,89.92,11
"East Jaintia Hills","Khliehriat Block","Dkhiah SC",25.37,92.35,9
"West Jaintia Hills","Thadlaskein Block","Sanaro SC",25.38,92.22,9
"West Garo Hills","Tura Urban Block","Sampalgre UHC",25.38,90.2,7
"West Khasi Hills","Nongstoin Block","Porkhadoh SC",25.38,91.06,8
"South West Khasi Hills","Mawkyrwat Block","Jakrem SC",25.38,91.48,4
"East Jaintia Hills","Khliehriat Block","Ladrymbai SC",25.38,92.3,9
"West Garo Hills","Gambegre Block","Chisakgre SC",25.39,90.19,7
"East Khasi Hills","Mawkynrew Block","Mawlyngngot SC",25.39,91.92,4
"West Jaintia Hills","Thadlaskein Block","Mustem SC",25.39,92.21,9
"South West Khasi Hills","Mawkyrwat Block","Sngimawlein SC",25.39,91.42,8
"East Jaintia Hills","Khliehriat Block","Iongkaluh SC",25.39,92.28,9
"East Jaintia Hills","Saipung Block","Mulait SC",25.39,92.5,9
"East Khasi Hills","Laitkroh Block","Lad Mawphlang SC",25.4,91.76,4
"East Khasi Hills","Mawphlang Block","Tyrsad SC",25.4,91.62,4
"East Jaintia Hills","Khliehriat Block","Jalyiah SC",25.4,92.31,9
"East Jaintia Hills","Saipung Block","Pala SC",25.4,92.61,9
"South West Khasi Hills","Mawkyrwat Block","Umjarain Mtd SC",25.4,91.51,4
"West Garo Hills","Rongram Block","Boldorenggre SC",25.41,89.84,11
"West Garo Hills","Gambegre Block","Gambegre SC",25.41,90.15,11
"South Garo Hills","Baghmara Block","Rongsa Awe SC",25.41,90.73,10
"East Khasi Hills","Laitkroh Block","Umdiengpoh SC",25.41,91.77,4
"West Khasi Hills","Nongstoin Block","Mawlieh SC",25.41,91.09,8
"West Khasi Hills","Mawshynrut Block","Mesei SC",25.41,90.57,10
"East Jaintia Hills","Khliehriat Block","Mukhaialong SC",25.41,92.26,9
"East Jaintia Hills","Saipung Block","Jalaphet SC",25.41,92.46,9
"East Jaintia Hills","Saipung Block","Narwan SC",25.41,92.44,9
"South West Garo Hills","Betasing Block","Rongchadenggre SC",25.41,90.05,11
"Ri Bhoi","Umsning Block","Thadrang SC",25.41339,92.09192,9
"West Garo Hills","Tikrikilla Block","Jangnapara SC",25.42,89.92,11
"East Khasi Hills","Urban Block","Nongthymmai UHC",25.42,91.71,4
"East Khasi Hills","Mawphlang Block","Thainthynroh SC",25.42,91.68,4
"West Khasi Hills","Mawshynrut Block","Riangdim SC",25.42,90.81,10
"West Jaintia Hills","Thadlaskein Block","Sohmynting SC",25.42,92.13,9
"East Jaintia Hills","Khliehriat Block","Sohkynphor SC",25.42,92.41,9
"East Jaintia Hills","Khliehriat Block","Tuber SC",25.42,92.29,9
"East Jaintia Hills","Saipung Block","Semmasi SC",25.42,92.57,9
"South West Khasi Hills","Mawkyrwat Block","Nongrynniang SC",25.42,91.25,8
"West Jaintia Hills","Urban Block","Chutwakhu UHC",25.43,92.19,9
"East Garo Hills","Samanda Block","Rongbinggre SC",25.43,90.6,10
"East Khasi Hills","Laitkroh Block","Mawkdok SC",25.43,91.78,4
"East Khasi Hills","Mawphlang Block","Lempluh SC",25.43,91.59,4
"Ri Bhoi","Umsning Block","Umroi SC",25.43,91.58,4
"South West Garo Hills","Zikzak Block","Kambakpara SC",25.43,89.91,11
"South West Garo Hills","Betasing Block","Asinagre SC",25.43,90.06,11
"West Garo Hills","Gambegre Block","Amindagre SC",25.44,90.16,11
"East Garo Hills","Samanda Block","Mandalgre SC",25.44,90.36,7
"West Khasi Hills","Nongstoin Block","Byrki SC",25.44,91.29,8
"South West Garo Hills","Zikzak Block","Kuligaon SC",25.44,89.89,11
"South West Garo Hills","Betasing Block","Daronggre SC",25.44,90.1,11
"West Garo Hills","Gambegre Block","Doldegre SC",25.45,90.17,11
"West Garo Hills","Gambegre Block","Bolchugre SC",25.45,90.14,11
"West Jaintia Hills","Urban Block","Ladthalaboh UHC",25.45,92.19,9
"East Khasi Hills","Laitkroh Block","Nongkynrih SC",25.45,91.86,4
"West Khasi Hills","Nongstoin Block","Mawrynniaw SC",25.45,91.06,8
"East Jaintia Hills","Saipung Block","Umkyrpong SC",25.45,92.56,9
"South West Garo Hills","Betasing Block","Mellim SC",25.45,90.24,7
"West Jaintia Hills","Thadlaskein Block","Mihmyntdu SC",25.46,92.23,9
"South West Garo Hills","Betasing Block","Morchapani SC",25.46,89.96,11
"West Khasi Hills","Nongstoin Block","Sangriang SC",25.47,91.26,8
"East Khasi Hills","Mylliem Block","Umlympung SC",25.47,91.8,4
"East Khasi Hills","Mawphlang Block","Lait Nongkseh SC",25.47,91.69,4
"East Khasi Hills","Mawkynrew Block","Pingwait SC",25.47,92.02,3
"West Khasi Hills","Nongstoin Block","Miangshang SC",25.47,91.12,8
"West Khasi Hills","Mawthadraishan Block","Lawbyrtun SC",25.47,91.35,8
"Ri Bhoi","Umsning Block","Jamanar SC",25.47,91.55,4
"West Jaintia Hills","Thadlaskein Block","Mynkrem SC",25.47,92.44,9
"West Jaintia Hills","Laskein Block","Khliehrangnah SC",25.47,92.5,9
"West Jaintia Hills","Laskein Block","Mynska SC",25.47,92.43,9
"West Jaintia Hills","Laskein Block","Phramer SC",25.47,92.3,9
"South West Garo Hills","Betasing Block","Damalgre SC",25.47,90.08,11
"East Khasi Hills","Mawkynrew Block","Thangsning SC",25.48,91.92,3
"West Jaintia Hills","Laskein Block","Nongryngkoh SC",25.48,92.51,9
"South West Garo Hills","Betasing Block","Jongchetpara SC",25.48,90.01,11
"East Khasi Hills","Mawphlang Block","Wahlang SC",25.49,91.58,4
"East Khasi Hills","Mawphlang Block","Lad Mawreng SC",25.49,91.78,4
"East Khasi Hills","Mawkynrew Block","Kharang SC",25.49,92.04,3
"West Khasi Hills","Nongstoin Block","Nongkynjang SC",25.49,91.34,8
"South West Garo Hills","Betasing Block","Godalgre SC",25.49,90.03,11
"East Garo Hills","Samanda Block","Tombolgre SC",25.4979,90.6186,10
"West Garo Hills","Tura Urban Block","Matchakolgre UHC",25.5,90.19,2
"East Garo Hills","Songsak Block","Nengkra SC",25.5,90.71,10
"East Khasi Hills","Mylliem Block","Mawpynthih SC",25.5,91.35,8
"East Khasi Hills","Mawkynrew Block","Thynroit SC",25.5,91.98,3
"West Khasi Hills","Mawthadraishan Block","Laitkseh SC",25.5,91.44,8
"West Khasi Hills","Mawthadraishan Block","Marngor SC",25.5,91.43,8
"West Khasi Hills","Mawthadraishan Block","Sarong SC",25.5,91.57,4
"West Jaintia Hills","Thadlaskein Block","Moodymmai SC",25.5,92.1,9
"West Jaintia Hills","Laskein Block","Motyrshiah SC",25.5,92.45,9
"West Jaintia Hills","Laskein Block","Raliang SC",25.5,92.4,9
"West Jaintia Hills","Laskein Block","Pammanik SC",25.5,92.33,9
"East Jaintia Hills","Khliehriat Block","Cham cham SC",25.5,92.23,9
"West Jaintia Hills","Thadlaskein Block","Mukhla SC",25.5,92.17,9
"South West Garo Hills","Betasing Block","Kumligaon SC",25.5,89.91,11
"West Garo Hills","Rongram Block","Chidekgre SC",25.51,89.97,11
"West Garo Hills","Gambegre Block","Dakopgre SC",25.51,90.18,2
"East Khasi Hills","Mylliem Block","Umthlong SC",25.51,91.84,3
"East Khasi Hills","Mawkynrew Block","Mawpyrshong SC",25.51,91.97,3
"East Garo Hills","Samanda Block","Bolkinggre SC",25.5156,90.5758,10
"East Garo Hills","Songsak Block","Dawagre SC",25.52,90.64,10
"West Khasi Hills","Urban Block","Nongstoin UHC",25.52,91.26,8
"East Khasi Hills","Mylliem Block","Liewlong SC",25.52,91.86,3
"East Khasi Hills","Mawryngkneng Block","Nongkrem SC",25.52,91.89,3
"East Khasi Hills","Mawphlang Block","Lyngkhoi SC",25.52,91.66,4
"East Khasi Hills","Mawphlang Block","Weilyngkut SC",25.52,91.73,4
"South West Garo Hills","Betasing Block","Watregre SC",25.52,89.92,11
"East Garo Hills","Samanda Block","Dolwari SC",25.53,90.52,7
"West Jaintia Hills","Thadlaskein Block","Wahiajer SC",25.53,92.16,9
"West Jaintia Hills","Laskein Block","Kyndongtuber SC",25.53,92.3,9
"South West Garo Hills","Betasing Block","Okkapara SC",25.53,90.11,2
"West Garo Hills","Selsella Block","Rongkhongre SC",25.54,90.21,2
"West Garo Hills","Gambegre Block","Edenbari SC",25.54,90.2,2
"East Khasi Hills","Urban Block","Upper Mawprem UHC",25.54,91.74,4
"East Khasi Hills","Urban Block","Lower Mawprem UHC",25.54,91.74,4
"East Khasi Hills","Mawryngkneng Block","Mawlyngad SC",25.54,91.96,3
"West Khasi Hills","Mairang Block","Manai SC",25.54,91.67,4
"West Khasi Hills","Mairang Block","Langtor SC",25.54,91.59,4
"Ri Bhoi","Umsning Block","Mawlyndep SC",25.54,92,3
"West Jaintia Hills","Laskein Block","Saphai SC",25.54,92.61,9
"South West Garo Hills","Betasing Block","Rangsa Abagre SC",25.54,90.02,2
"East Garo Hills","Samanda Block","Gitokgre SC",25.5496,90.5308,1
"East Khasi Hills","Urban Block","Lawsohtun SC",25.55,91.85,3
"East Khasi Hills","Urban Block","Lumparing UHC",25.55,91.88,3
"East Khasi Hills","Mawryngkneng Block","Sohryngkham SC",25.55,91.98,3
"East Khasi Hills","Mawryngkneng Block","Umphyrnai SC",25.55,91.94,3
"West Khasi Hills","Mairang Block","Kynsew SC",25.55,91.67,4
"West Jaintia Hills","Thadlaskein Block","Tyrshang SC",25.55,92.14,9
"West Jaintia Hills","Thadlaskein Block","Mupliang SC",25.55,92.22,9
"South West Garo Hills","Betasing Block","Garodoba SC",25.55,90,2
"South West Garo Hills","Betasing Block","Joyfar SC",25.55,89.92,11
"South West Garo Hills","Betasing Block","Mukdangra SC",25.55,90.07,2
"West Garo Hills","Rongram Block","Rombagre SC",25.56,90.34,7
"East Khasi Hills","Urban Block","Bishnupur UHC",25.56,91.87,3
"East Khasi Hills","Urban Block","Madanrting UHC",25.56,91.91,3
"East Khasi Hills","Urban Block","Dongkharmalki UHC",25.56,91.88,3
"West Jaintia Hills","Thadlaskein Block","Nongjngi SC",25.56,92.26,9
"West Jaintia Hills","Laskein Block","Mokaiaw SC",25.56,92.46,9
"South West Garo Hills","Betasing Block","Dalupara SC",25.56,90.06,2
"South West Garo Hills","Betasing Block","Harigaon SC",25.56,90.05,2
"West Khasi Hills","Mawthadraishan Block","Nongjlak SC",25.57,91.45,8
"East Khasi Hills","Urban Block","Umsohsun UHC",25.57,91.87,3
"East Khasi Hills","Urban Block","Demseiniong UHC",25.57,91.9,3
"East Khasi Hills","Mylliem Block","Lawmei SC",25.57,91.79,3
"East Khasi Hills","Mawphlang Block","Krang SC",25.57,91.74,4
"West Jaintia Hills","Laskein Block","Mooshrot SC",25.57,92.51,9
"South West Garo Hills","Betasing Block","Andarkhona SC",25.57,90.07,2
"West Khasi Hills","Nongstoin Block","Mawlangniang SC",25.58,91.25,8
"East Khasi Hills","Urban Block","Pynthorbah UHC",25.58,91.89,3
"West Khasi Hills","Mairang Block","Laitdom SC",25.58,91.61,4
"West Khasi Hills","Mairang Block","Mawshut SC",25.58,91.61,4
"West Khasi Hills","Mairang Block","Nongliput SC",25.58,91.69,4
"West Khasi Hills","Mawshynrut Block","Nongdaju SC",25.58,90.99,6
"South West Khasi Hills","Mawkyrwat Block","Mawsaw SC",25.58,91.25,8
"South West Garo Hills","Betasing Block","Gandhipara SC",25.58358333,89.99438889,2
"Ri Bhoi","Umsning Block","Umlaper SC",25.59,92.08,3
"East Khasi Hills","Urban Block","Nongmynsong SC",25.59,91.88,3
"East Khasi Hills","Urban Block","Mawlai Nongkwar UHC",25.59,91.87,3
"East Khasi Hills","Urban Block","Mawpat UHC",25.59,91.92,3
"East Garo Hills","Dambo Rongjeng Block","Nongchram SC",25.59,90.79,6
"West Khasi Hills","Mawshynrut Block","Umshynrut SC",25.59,91.14,8
"West Jaintia Hills","Thadlaskein Block","Thadbamon SC",25.59,92.34,9
"West Jaintia Hills","Laskein Block","Shilliangmyntang SC",25.59,92.38,9
"West Jaintia Hills","Laskein Block","Thangrain SC",25.59,92.42,9
"West Jaintia Hills","Laskein Block","Psiar SC",25.590898,92.533369,9
"West Garo Hills","Tikrikilla Block","Pedaldoba SC",25.5923,90.9569,6
"East Garo Hills","Samanda Block","Sampalgre SC",25.5957,90.3967,1
"East Garo Hills","Dambo Rongjeng Block","Rongdu Damit SC",25.6,90.83,6
"East Garo Hills","Samanda Block","Chiading SC",25.6,90.46,1
"East Garo Hills","Songsak Block","Norek SC",25.6,90.61,1
"East Khasi Hills","Mylliem Block","Kynroh SC",25.6,91.76,3
"East Khasi Hills","Mawryngkneng Block","Tynring SC",25.6,92.02,3
"West Khasi Hills","Mairang Block","Pyndendombah SC",25.6,91.67,4
"North Garo Hills","Resubelpara Block","Chengalma SC",25.6,90.43,1
"West Garo Hills","Rongram Block","Waribokgre SC",25.61,90.29,2
"East Garo Hills","Songsak Block","Jamge SC",25.61,90.72,6
"East Khasi Hills","Mylliem Block","Mawtawar SC",25.61,91.9,3
"East Khasi Hills","Mawryngkneng Block","Mawpdang SC",25.61,92.04,3
"West Jaintia Hills","Thadlaskein Block","Nongkhroh SC",25.61,92.12,3
"West Jaintia Hills","Thadlaskein Block","Mynsngad SC",25.61,92.24,9
"West Jaintia Hills","Thadlaskein Block","Nonglatem SC",25.61,92.17,9
"West Khasi Hills","Mawthadraishan Block","Mawlangsu SC",25.62,91.39,8
"West Jaintia Hills","Laskein Block","Mukroh SC",25.62,92.49,9
"West Garo Hills","Rongram Block","Waram Songma SC",25.62,90.23,2
"East Garo Hills","Dambo Rongjeng Block","Darugre SC",25.63,90.77,6
"East Garo Hills","Dambo Rongjeng Block","Naringgre SC",25.63,90.76,6
"East Garo Hills","Songsak Block","Asil SC",25.63,90.5,1
"West Jaintia Hills","Thadlaskein Block","Bamkamar SC",25.63,92.13,3
"North Garo Hills","Resubelpara Block","Akarok SC",25.63,90.47,1
"West Garo Hills","Rongram Block","Baljek SC",25.64,90.3,2
"West Garo Hills","Dadenggiri Block","Mangalpara SC",25.64,90.07,2
"West Garo Hills","Dadenggiri Block","Bolongre SC",25.64,89.97,2
"West Khasi Hills","Mawshynrut Block","Seinduli SC",25.64,91.14,8
"West Garo Hills","Rongram Block","Boldakgre SC",25.65,89.96,2
"West Garo Hills","Selsella Block","Damjonggre SC",25.65,90.03,2
"West Khasi Hills","Mairang Block","Mawnai SC",25.65,91.7,3
"West Khasi Hills","Mawshynrut Block","Mawsyrpat SC",25.65,91.14,8
"West Jaintia Hills","Thadlaskein Block","Moobakhon SC",25.65,92.29,9
"West Jaintia Hills","Thadlaskein Block","Rakabah SC",25.65,92.23,9
"West Garo Hills","Selsella Block","Rochonpara SC",25.66,89.95,2
"East Garo Hills","Songsak Block","Barikgre SC",25.66,90.51,1
"West Khasi Hills","Mawshynrut Block","Mawthengkut SC",25.66,91.07,6
"Ri Bhoi","Umsning Block","Mawbsein SC",25.66,92.06,3
"East Garo Hills","Dambo Rongjeng Block","Dambo Mrok SC",25.66480556,90.82444444,6
"West Garo Hills","Rongram Block","Babadam SC",25.67,90.06,2
"West Garo Hills","Selsella Block","Dabakgre SC",25.67,90.08,2
"West Garo Hills","Selsella Block","Rangrigre SC",25.67,90,2
"East Garo Hills","Dambo Rongjeng Block","Pakkregre SC",25.67,90.72,6
"West Khasi Hills","Mairang Block","Mawsnar SC",25.67,91.71,3
"West Khasi Hills","Mawshynrut Block","Tynhiang SC",25.67,91.14,8
"West Jaintia Hills","Thadlaskein Block","Sohphoh SC",25.67,92.16,3
"West Garo Hills","Dadenggiri Block","Rongchu St. Dispy",25.68,90.14,2
"West Garo Hills","Selsella Block","Wajadagre SC",25.68,90.06,2
"West Garo Hills","Selsella Block","Ujenggre SC",25.68,89.99,2
"East Garo Hills","Songsak Block","Samin Indikim SC",25.68,90.65,1
"East Garo Hills","Songsak Block","Cheran Songma SC",25.68,90.7,6
"Ri Bhoi","Umsning Block","Umsawlum SC",25.68,91.88,3
"West Garo Hills","Rongram Block","Marakgre SC",25.683074,90.424041,1
"East Garo Hills","Dambo Rongjeng Block","Dambo Rongdeng SC",25.6895,90.8367,6
"East Garo Hills","Dambo Rongjeng Block","Rongchek A.kong SC",25.69,90.77,6
"West Khasi Hills","Nongstoin Block","Mawdoh SC",25.69,91.41,8
"West Khasi Hills","Mairang Block","Umpdem SC",25.69,91.76,3
"West Khasi Hills","Mawshynrut Block","Nongjri SC",25.69,90.99,6
"West Garo Hills","Dadenggiri Block","Romgre SC",25.7,90.11,2
"West Garo Hills","Rongram Block","Anogre SC",25.71,90.35,1
"West Garo Hills","Selsella Block","Belbari SC",25.71,90.01,2
"East Garo Hills","Dambo Rongjeng Block","Rongmil SC",25.71,90.81,6
"West Khasi Hills","Mairang Block","Mawkarah SC",25.71,91.56,4
"West Khasi Hills","Mawshynrut Block","Langja SC",25.71,91.17,8
"West Khasi Hills","Mawshynrut Block","Kyrdum SC",25.71,91.21,8
"West Jaintia Hills","Thadlaskein Block","Saitsama SC",25.71,92.36,9
"West Khasi Hills","Nongstoin Block","Mawdumdum SC",25.72,91.32,8
"West Garo Hills","Selsella Block","Zikabari SC",25.72,90.03,2
"West Garo Hills","Dadenggiri Block","Damal Asim SC",25.72,90.31,1
"East Garo Hills","Dambo Rongjeng Block","Nongbak A.pal SC",25.72,90.94,6
"West Jaintia Hills","Thadlaskein Block","Khanduli SC",25.72,92.39,9
"West Khasi Hills","Nongstoin Block","Umiap SC",25.73,91.39,8
"Ri Bhoi","Umsning Block","Kyrdemkulai SC",25.73,91.84,3
"Ri Bhoi","Umsning Block","Pynthorbhoilasa SC",25.73,92,3
"North Garo Hills","Resubelpara Block","Snalgre SC",25.73,90.41,1
"West Garo Hills","Selsella Block","Bhajamara SC",25.74,90.02,2
"West Garo Hills","Selsella Block","Hallidayganj SC",25.74,89.9,2
"East Garo Hills","Dambo Rongjeng Block","Nengkram SC",25.74,90.96,6
"East Garo Hills","Songsak Block","Koksi Nengsat SC",25.74,90.67,6
"West Khasi Hills","Mawshynrut Block","Umsohpieng SC",25.74,91.11,6
"West Garo Hills","Selsella Block","Marok SC",25.74,90.028,2
"West Garo Hills","Rongram Block","Tosekgre SC",25.75,90.35,1
"West Garo Hills","Tikrikilla Block","Rangsagre SC",25.75,90.05,2
"West Garo Hills","Selsella Block","Mangchim SC",25.75,90.06,2
"West Garo Hills","Rongram Block","Manggakgre SC",25.76,90.36,1
"West Garo Hills","Selsella Block","Rajabala SC",25.76,89.99,2
"West Khasi Hills","Mawshynrut Block","Tynghor SC",25.76,91.15,6
"Ri Bhoi","Umsning Block","Raitong SC",25.76,91.97,3
"Ri Bhoi","Umsning Block","Iapngar SC",25.76,92.1,3
